331191	Σας είπα ήδη ότι δεν είναι εδώ.	331192	I already told you that she isn't here.
331193	Πάμε σινεμά;	331194	Shall we go to the cinema?
338315	Τα αγγλικά δεν είναι εύκολα, αλλά είναι ενδιαφέροντα.	458053	English is not easy, but it is interesting.
338318	Δεν ξέρω.	273786	I have no idea.
338318	Δεν ξέρω.	349064	I don't know.
338323	Κανείς δεν με καταλαβαίνει.	1484	Nobody understands me.
338324	Δεν καταλαβαίνω.	38392	I don't get it.
338324	Δεν καταλαβαίνω.	376610	I do not understand.
338324	Δεν καταλαβαίνω.	376611	I don't understand.
338346	Πολύ μου χρησίμεψε.	338347	It helped me a lot.
338353	Το φιλμ κράτησε δύο ώρες.	2440	The film lasted 2 hours.
338356	Ήρθα! Ο; Έχουμε καλεσμένο;	327140	I'm back! Oh? Have we got a guest?
338360	Θα σου δείξω την πόλη.	246181	I'll show you around the city.
338360	Θα σου δείξω την πόλη.	246182	I will show you around the city.
338361	Θα το ξαναπροσπάθησω.	33518	I will try it again.
338364	Έχεις χαθεί;	280393	Are you lost?
338365	Συγνώμη, έχω χαθεί.	51482	Excuse me, I'm lost.
338366	Με συγχωρείτε, παρακαλώ.	38820	Please forgive me.
338368	Έχεις λείψει τόσα χρόνια.	338367	You have been missing all these years.
338369	Πού γεννήθηκε;	292020	Where was he born?
338369	Πού γεννήθηκε;	2083039	Where was she born?
338370	Πότε γεννήθηκε;	310506	When was she born?
338371	Γεννήθηκε στην Αθήνα το 1956.	338372	Born in Athens in 1956.
338375	Κάνει ζέστη σήμερα.	242881	It's hot today.
338377	Είναι τη τρίτη μεγαλύτερη πόλη της Σερβίας.	338376	It's the third biggest city in Serbia.
338393	Καλή ερώτηση.	378524	Good question!
338439	Είναι αργά.	31195	It's late.
338446	Είναι πολύ νέο.	34819	It's brand new.
338649	Δε μιλάω Ιαπωνικά.	1482	I don't speak Japanese.
338674	Σ'αγαπώ.	1434	I love you.
338777	Τον λογαριασμό, παρακαλώ.	1710	The check, please.
338777	Τον λογαριασμό, παρακαλώ.	21098	Check, please.
338777	Τον λογαριασμό, παρακαλώ.	462578	The bill, please.
425913	Με βοήθησε πολύ.	338347	It helped me a lot.
425919	Είναι ολοκαίνουργιο.	34819	It's brand new.
425921	Ξέρεις πού πήγε ο πατέρας σου;	70969	Do you know where your father went?
425923	Τι απαίσια συμπεριφορά!	36112	What vile behavior!
448678	Η απόφασή μου να σπουδάσω στο εξωτερικό εξέπληξε τους γονείς μου.	325473	My decision to study abroad surprised my parents.
509935	Με λένε Φαρσάντ.	509917	My name is Farshad.
683876	Ευχαριστώ!	374827	Thank you!
683876	Ευχαριστώ!	448645	Thanks!
689382	Καλή χρονιά!	361350	Happy New Year!
690623	Ένα άτομο περισσότερο ή λιγότερο δεν κάνει και μεγάλη διαφορά.	27662	One person more or less doesn't make much difference.
690626	Ας δοκιμάσουμε κάτι!	1276	Let's try something.
690628	Δεν έχεις πυρετό.	402491	You don't have a fever.
699020	Σήμερα μένω στο σπίτι.	697564	I will stay home today.
